threshold,300,600,1200,2400
0.1,0.459651388,0.459651388,0.459651388,0.453841188
0.2,0.459651388,0.459651388,0.459651388,0.453841188
0.3,0.460296966,0.460296966,0.460296966,0.453841188
0.4,0.466752744,0.466752744,0.465461588,0.460296966
0.5,0.475145255,0.475790833,0.476436411,0.462879277
0.6,0.486120077,0.486765655,0.479018722,0.466752744
0.7,0.491930278,0.492575855,0.482246611,0.467398321
0.8,0.494512589,0.495158167,0.486765655,0.468043899
0.9,0.498386056,0.498386056,0.488702389,0.468689477
1.0,0.501613944,0.501613944,0.489347966,0.469335055

