num_frames,0,8,16,24,32,40,48,56
LongVideoBench,0.58414,0.59387,0.5991,0.59312,0.5991,0.59835,0.59312,0.59536
LongVideoBench(900s-3600s),0.49468,0.51773,0.52482,0.51596,0.52482,0.52482,0.51773,0.52305
